,jquery/jquery,dojo/dojo,yui/yui3
2008-01-29,-0.5590236094437775,3.7484609228306707,-1.7017422353556808
2008-01-30,-0.30902360944377755,-0.3092313848616369,-0.35284113645458204
2008-01-31,-0.03979284021300827,0.5781312525010003,-0.1550389386523845
2008-02-01,1.0939067934866253,3.186135992858682,4.07691538153723
2008-02-02,0.46645581309446854,1.7771724074245083,4.239380367531628
2008-02-03,5.497268138024441,0.42423123095392007,4.152545633638071
2008-02-04,-0.14979068550497127,6.595099578292856,-0.25921907224428226
2008-02-05,0.4409763905562225,1.7484609228306707,-0.7017422353556808
2008-02-06,2.6909763905562225,-0.3092313848616369,-3.352841136454582
2008-02-07,-0.03979284021300827,0.5781312525010003,-2.1550389386523845
2008-02-08,0.09390679348662542,1.1861359928586819,0.07691538153723002
2008-02-09,0.46645581309446854,1.7771724074245083,3.239380367531628
