,redis/redis,memcached/memcached,basho/riak_kv
2011-12-13,7.8189352664142575,1.044433157878536,2.664442700156986
2011-12-14,-0.22103456767322305,0.042440052944254625,1.195739834395297
2011-12-15,4.053475236248345,0.7483224058854311,9.736356080893897
2011-12-16,2.274763751654508,1.0620478960815096,8.481454120109582
2011-12-17,0.944231538769354,0.12927478683781202,1.0024625234709268
2011-12-18,2.406847354326346,0.14058700403238217,0.8732339089481945
2011-12-19,6.722781420260412,-0.16710530365992549,0.046310832025117765
2011-12-20,1.818935266414258,1.044433157878536,0.6644427001569859
2011-12-21,9.778965432326777,0.042440052944254625,1.195739834395297
2011-12-22,2.0534752362483455,-0.2516775941145689,1.736356080893896
2011-12-23,3.274763751654508,0.06204789608150955,-0.5185458798904176
2011-12-24,0.944231538769354,0.12927478683781202,1.0024625234709268
