,spring-projects/spring-boot,apache/struts,playframework/playframework
2013-02-10,2.137570412780497,0.2668144180749222,4.105342136854741
2013-02-11,-0.1397943792901776,-0.04168590513128327,1.197186566934466
2013-02-12,-0.3694862560408778,0.09556899682950101,1.530519900267799
2013-02-13,-0.6439960599624465,0.4289023301628345,0.7097916089512728
2013-02-14,-0.5375534829316342,-0.5262797426662973,2.617354634161357
2013-02-15,-2.254640317665528,-0.07529935050943458,6.2784190599316645
2013-02-16,1.8079000831101668,0.8519792532397575,5.561386092898698
2013-02-17,2.137570412780497,0.2668144180749222,3.1053421368547416
2013-02-18,-0.1397943792901776,1.9583140948687168,6.197186566934466
2013-02-19,-0.3694862560408778,3.095568996829501,18.530519900267798
2013-02-20,-0.6439960599624465,-0.5710976698371655,4.709791608951273
2013-02-21,-0.5375534829316342,1.4737202573337027,24.617354634161355
