,jquery/jquery,prototypejs/prototype,yui/yui3
2008-03-30,0.5804495435216656,2.114372970995717,7.624822819344318
2008-03-31,-0.5115834235113015,4.8492630808858275,1.0561415006629984
2008-04-01,-0.5211988081266861,0.2627246193473655,0.06987776439926208
2008-04-02,-0.12971529164316958,0.040197146819893025,-2.794133224611726
2008-04-03,-0.07967795034369238,-0.12722523662190793,0.392146515066071
2008-04-04,0.2504191370349484,0.8089744859855816,0.8123961683254328
2008-04-05,0.41130679306823553,0.05169293258752341,5.838748456813644
2008-04-06,0.5804495435216656,0.1143729709957172,7.624822819344318
2008-04-07,-0.5115834235113015,-0.15073691911417292,4.056141500662998
2008-04-08,0.47880119187331394,0.2627246193473655,0.06987776439926208
2008-04-09,-0.12971529164316958,0.040197146819893025,-2.794133224611726
2008-04-10,0.9203220496563076,-0.12722523662190793,-0.607853484933929
