,microsoft/vscode,jetbrains/intellij-community,atom/atom
2018-02-08,42.525716986546485,107.91429584240643,8.494394929187557
2018-02-09,55.79494775577725,105.9188745969852,-2.0816123968197706
2018-02-10,44.76106497189446,90.78609071420131,2.570402255194882
2018-02-11,40.56326277409226,77.93444236255297,4.168387603180229
2018-02-12,25.042200503029996,135.4353581134687,8.442197126989754
2018-02-13,51.16331594672609,91.20408669671343,1.411871001502338
2018-02-14,33.14949106193346,77.80685167367196,11.994359480765011
2018-02-15,44.525716986546485,100.91429584240643,11.494394929187557
2018-02-16,36.79494775577725,87.9188745969852,8.918387603180228
2018-02-17,49.76106497189446,137.7860907142013,10.570402255194882
2018-02-18,49.56326277409226,95.93444236255297,5.168387603180229
2018-02-19,13.042200503029997,83.43535811346871,7.442197126989754
2018-02-20,50.16331594672609,96.20408669671343,7.4118710015023375
