,mysql/mysql-server,postgres/postgres,FirebirdSQL/firebird
2001-09-14,4.326465660164367,12.825163970659634,0.08088886333146672
2001-09-15,6.587949414929751,1.030519987986633,0.08174323797433865
2001-09-16,0.6419978418618033,9.80125467399363,0.08183715461745754
2001-09-17,11.322704221335007,9.405020491323302,0.08058166776505299
2001-09-18,12.607941523708295,4.215326267198803,0.7945629081373065
2001-09-19,-2.6141981773241083,5.711260512483048,0.7948685452247923
2001-09-20,-1.8514430426089863,5.875418435001585,0.0816121559000229
2001-09-21,1.255960881494235,4.734590581051749,0.0819066426494436
2001-09-22,4.069767341775656,6.641209156947573,0.07897644322534364
2001-09-23,-0.35268010362640556,25.98113435721158,0.074109130786881
2001-09-24,-3.8296751026112408,2.3190933109723,0.0696836208952943
2001-09-25,-0.20281355114744093,3.377453305330481,-0.18656458498836181
