,flutter/flutter,facebook/react-native,tidev/titanium-sdk
2019-05-24,5.790170474463123,24.992888006584263,1.9423191233177364
2019-05-25,11.043984621481155,6.1579365502735826,2.6996006767157947
2019-05-26,13.260604166984196,7.8241053329472185,2.8096774931032904
2019-05-27,2.3512635076435355,0.06311632195820827,-3.1614763530505554
2019-05-28,8.378736035116063,9.656522915364802,-1.5199928365670392
2019-05-29,9.297692079072107,5.372182256024143,5.87423793266373
2019-05-30,24.877549115239823,16.933248616847784,15.355633963817043
2019-05-31,10.790170474463123,26.992888006584263,3.9423191233177364
2019-06-01,16.043984621481155,10.157936550273583,2.6996006767157947
2019-06-02,12.260604166984196,9.82410533294722,2.8096774931032904
2019-06-03,25.351263507643534,10.063116321958208,1.8385236469494446
2019-06-04,18.378736035116063,12.656522915364802,-0.5199928365670392
2019-06-05,8.297692079072107,7.372182256024143,4.87423793266373
